PID,Pred_Sequence
11,"[[], [5], [], [], [], [], [30], [5], [], [], [], [5], [57], [29], [], [29], [], [134], [30], [30], [], [], [], [], [], [29], [], [], [124], [101], [84], [], [], [30], [134], [], [29], [20], [5], [38], [6], [8]]"
12,"[[119], [48], [], [], [13], [], [48], [48], [119], [115], [100], [], [13], [119], [], [], [13], [78], [78], [115], [98], [115], [48], [48], [], [50], [48], [78], [115], [48], [78], [], [], [], [100], [119], [100], [115], [], [78], [], [115], [98], [13], [115], [78], [107], [48], [78], [48], [], [115], [], [], [13], [13], [13], [98], []]"
13,[[0]]
14,"[[], [], [], [], [], [], [127], [57], [], [152], [152], [149], [149], [6], [], [], [152], [149], [89], [54], [], [], [101], [40], [], [], [], [], [], [], [104], [20], [127], [8], [], [152], [149], [89], [104], [40], [152], [104]]"
15,"[[111], [], [127], [], [129], [], [149], [], [104], [40], [124], [], [149], [89], [57], [101], [], [], [], [], [], [], [104], [], [152], [104], [], [13], [13], [13], [13], [13], [13], [48], [119], [13], [13], [13], [127], [13], [], [], [40], [89], [149], [], [8], [152], [149], [89], [], [6], [152], [20], []]"
16,[[0]]
17,[[0]]
18,"[[], [97], [], [], [], [13], [13], [], [], [], [], [97], [], [], [], [], [], [], [], [13], [97], [13], [48], [13], [], [97], [97], [97], [97], [], [], [13], [119], [], [13], [], [13], [13], [13], [13], [13], [13], [13], [48], [119], [97], [13], [97], [97], [], [119], [], [13], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [13], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [97], [48], [13], [119], [], [], [97], [97], [], [13], [13], [], [13], [13], [13], [97], [13], [13], [13], [], [97], [97], [97], [], [48], [119], [], [13], [13], [13], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [13], [13], [], [13], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [48], [], [], [], [100], [115], [], [78], [48], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [119], [48], [], [], [13], [119], [], [115], [100], [48], [97], [97], [97], [97], [97], [48], [119], [119], [48], [], [100], [115], [78], [48], [], [97], [], [], [13], [], [], [78], [], [], [], [], [], [], [], [], [], [], [13], [13], [97], [97], [97], [97], [], [48], [13], [13], [13], [13], [13], [13], [13], [], [97], [97], [97], [], [97], [115], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [13], [], [78], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [100], [], [], [], [], [97], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [97], [], []]"
19,"[[], [], [], [119], [], [], [], [], [], [], [], [13], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [97], [13], [13], [13], [], [97], [119], [48], [], [13], [13], [], [13], [13], [13], [13], [13], [13], [], [119], [13], [13], [97], [97], [13], [13], [13], [13], [13], [13], [48], [97], [97], [97], [97], [97], [], [48], [119], [], [97], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [97], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [97], [119], [97], [97], [97], [97], [97], [97], [119], [48], [], [97], [], [97], [], [], [], [], [13], [13], [13], [13], [], [], [], [], [], [], [], [], [13], [], [13], [], [], [13], [13], [13], [119], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [97], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [97], [48], [], [], [48], [119], [], [97], [], [97], [97], [], [], [48], [119], [], [97], [48], [], [97], [], [97], [], [], [], [], [], [], [48], [13], [], [], [], [], [], [97], [], [], [], [], [], [97], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]"
20,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [48], [], [], [], [], [], [], [], [], [], [], [], [], [], [2], [], [], [13], [13], [78], [97], [13], [97], [13], [13], [13], [13], [13], [97], [13], [13]]"
